Week_Ending_Date,Race and Ethnicity,Percent Up to date,Denominator,Date Order,Race Sort Order
09/03/2022 12:00:00 AM,All Races/Ethnicity,0,100053,90,1
09/10/2022 12:00:00 AM,All Races/Ethnicity,0.3,99886,91,1
09/17/2022 12:00:00 AM,All Races/Ethnicity,1,100034,92,1
09/24/2022 12:00:00 AM,All Races/Ethnicity,2,100216,93,1
10/01/2022 12:00:00 AM,All Races/Ethnicity,3.1,100518,94,1
10/08/2022 12:00:00 AM,All Races/Ethnicity,4.3,100896,95,1
10/15/2022 12:00:00 AM,All Races/Ethnicity,5.5,100957,96,1
10/22/2022 12:00:00 AM,All Races/Ethnicity,6.5,100958,97,1
10/29/2022 12:00:00 AM,All Races/Ethnicity,7.5,101005,98,1
11/05/2022 12:00:00 AM,All Races/Ethnicity,8.5,101181,99,1
11/12/2022 12:00:00 AM,All Races/Ethnicity,9.4,101369,100,1
11/19/2022 12:00:00 AM,All Races/Ethnicity,10.3,101588,101,1
11/26/2022 12:00:00 AM,All Races/Ethnicity,10.8,101549,102,1
12/03/2022 12:00:00 AM,All Races/Ethnicity,11.5,101885,103,1
12/10/2022 12:00:00 AM,All Races/Ethnicity,12.2,101682,104,1
12/17/2022 12:00:00 AM,All Races/Ethnicity,12.8,101887,105,1
12/24/2022 12:00:00 AM,All Races/Ethnicity,13.3,101994,106,1
12/31/2022 12:00:00 AM,All Races/Ethnicity,13.7,101961,107,1
01/07/2023 12:00:00 AM,All Races/Ethnicity,14,102264,108,1
01/14/2023 12:00:00 AM,All Races/Ethnicity,14.4,102326,109,1
01/21/2023 12:00:00 AM,All Races/Ethnicity,14.6,102290,110,1
01/28/2023 12:00:00 AM,All Races/Ethnicity,14.8,102274,111,1
02/04/2023 12:00:00 AM,All Races/Ethnicity,15,102241,112,1
02/11/2023 12:00:00 AM,All Races/Ethnicity,15.1,102191,113,1
02/18/2023 12:00:00 AM,All Races/Ethnicity,15.2,102115,114,1
02/25/2023 12:00:00 AM,All Races/Ethnicity,15.3,101931,115,1
03/04/2023 12:00:00 AM,All Races/Ethnicity,15.4,101887,116,1
03/11/2023 12:00:00 AM,All Races/Ethnicity,15.4,101626,117,1
03/18/2023 12:00:00 AM,All Races/Ethnicity,15.5,101368,118,1
03/25/2023 12:00:00 AM,All Races/Ethnicity,15.6,101015,119,1
04/01/2023 12:00:00 AM,All Races/Ethnicity,15.7,100439,120,1
04/08/2023 12:00:00 AM,All Races/Ethnicity,15.7,100047,121,1
04/15/2023 12:00:00 AM,All Races/Ethnicity,15.8,99469,122,1
04/22/2023 12:00:00 AM,All Races/Ethnicity,15.9,98667,123,1
04/29/2023 12:00:00 AM,All Races/Ethnicity,15.9,97835,124,1
05/06/2023 12:00:00 AM,All Races/Ethnicity,15.9,96788,125,1
05/13/2023 12:00:00 AM,All Races/Ethnicity,15.9,95465,126,1
05/20/2023 12:00:00 AM,All Races/Ethnicity,15.9,93935,127,1
05/27/2023 12:00:00 AM,All Races/Ethnicity,15.9,91957,128,1
06/03/2023 12:00:00 AM,All Races/Ethnicity,15.9,89407,129,1
06/10/2023 12:00:00 AM,All Races/Ethnicity,16,86517,130,1
06/17/2023 12:00:00 AM,All Races/Ethnicity,16,83408,131,1
06/24/2023 12:00:00 AM,All Races/Ethnicity,16,80305,132,1
07/01/2023 12:00:00 AM,All Races/Ethnicity,16,77168,133,1
07/08/2023 12:00:00 AM,All Races/Ethnicity,16.1,74019,134,1
07/15/2023 12:00:00 AM,All Races/Ethnicity,16.1,71008,135,1
07/22/2023 12:00:00 AM,All Races/Ethnicity,16.1,67957,136,1
07/29/2023 12:00:00 AM,All Races/Ethnicity,16.2,66127,137,1
09/03/2022 12:00:00 AM,"Asian, NH",0,15531,90,2
09/10/2022 12:00:00 AM,"Asian, NH",0.5,15483,91,2
09/17/2022 12:00:00 AM,"Asian, NH",1.8,15468,92,2
09/24/2022 12:00:00 AM,"Asian, NH",3.5,15463,93,2
10/01/2022 12:00:00 AM,"Asian, NH",5.5,15524,94,2
10/08/2022 12:00:00 AM,"Asian, NH",7.8,15493,95,2
10/15/2022 12:00:00 AM,"Asian, NH",9.8,15454,96,2
10/22/2022 12:00:00 AM,"Asian, NH",11.8,15360,97,2
10/29/2022 12:00:00 AM,"Asian, NH",13.5,15298,98,2
11/05/2022 12:00:00 AM,"Asian, NH",15.3,15280,99,2
11/12/2022 12:00:00 AM,"Asian, NH",16.9,15261,100,2
11/19/2022 12:00:00 AM,"Asian, NH",18.4,15186,101,2
11/26/2022 12:00:00 AM,"Asian, NH",19.3,15161,102,2
12/03/2022 12:00:00 AM,"Asian, NH",20.4,15162,103,2
12/10/2022 12:00:00 AM,"Asian, NH",21.4,15118,104,2
12/17/2022 12:00:00 AM,"Asian, NH",22.5,15112,105,2
12/24/2022 12:00:00 AM,"Asian, NH",23.7,15097,106,2
12/31/2022 12:00:00 AM,"Asian, NH",24.6,15050,107,2
01/07/2023 12:00:00 AM,"Asian, NH",25.2,15061,108,2
01/14/2023 12:00:00 AM,"Asian, NH",26,15048,109,2
01/21/2023 12:00:00 AM,"Asian, NH",26.2,15039,110,2
01/28/2023 12:00:00 AM,"Asian, NH",26.7,14962,111,2
02/04/2023 12:00:00 AM,"Asian, NH",27,14985,112,2
02/11/2023 12:00:00 AM,"Asian, NH",27.3,14958,113,2
02/18/2023 12:00:00 AM,"Asian, NH",27.6,14902,114,2
02/25/2023 12:00:00 AM,"Asian, NH",27.8,14856,115,2
03/04/2023 12:00:00 AM,"Asian, NH",27.9,14882,116,2
03/11/2023 12:00:00 AM,"Asian, NH",28,14860,117,2
03/18/2023 12:00:00 AM,"Asian, NH",28.2,14833,118,2
03/25/2023 12:00:00 AM,"Asian, NH",28.4,14755,119,2
04/01/2023 12:00:00 AM,"Asian, NH",28.6,14673,120,2
04/08/2023 12:00:00 AM,"Asian, NH",28.8,14562,121,2
04/15/2023 12:00:00 AM,"Asian, NH",28.9,14460,122,2
04/22/2023 12:00:00 AM,"Asian, NH",29.1,14326,123,2
04/29/2023 12:00:00 AM,"Asian, NH",29.1,14220,124,2
05/06/2023 12:00:00 AM,"Asian, NH",29.1,14050,125,2
05/13/2023 12:00:00 AM,"Asian, NH",29.3,13881,126,2
05/20/2023 12:00:00 AM,"Asian, NH",29.4,13645,127,2
05/27/2023 12:00:00 AM,"Asian, NH",29.4,13317,128,2
06/03/2023 12:00:00 AM,"Asian, NH",29.4,12951,129,2
06/10/2023 12:00:00 AM,"Asian, NH",29.3,12549,130,2
06/17/2023 12:00:00 AM,"Asian, NH",29.5,12093,131,2
06/24/2023 12:00:00 AM,"Asian, NH",29.5,11645,132,2
07/01/2023 12:00:00 AM,"Asian, NH",29.6,11137,133,2
07/08/2023 12:00:00 AM,"Asian, NH",29.6,10627,134,2
07/15/2023 12:00:00 AM,"Asian, NH",29.5,10180,135,2
07/22/2023 12:00:00 AM,"Asian, NH",29.6,9688,136,2
07/29/2023 12:00:00 AM,"Asian, NH",29.8,9473,137,2
09/10/2022 12:00:00 AM,"Black, NH",0,7207,91,3
09/17/2022 12:00:00 AM,"Black, NH",0.2,7216,92,3
09/24/2022 12:00:00 AM,"Black, NH",0.5,7251,93,3
10/01/2022 12:00:00 AM,"Black, NH",0.9,7296,94,3
10/08/2022 12:00:00 AM,"Black, NH",1.2,7330,95,3
10/15/2022 12:00:00 AM,"Black, NH",1.6,7375,96,3
10/22/2022 12:00:00 AM,"Black, NH",2.1,7369,97,3
10/29/2022 12:00:00 AM,"Black, NH",2.6,7369,98,3
11/05/2022 12:00:00 AM,"Black, NH",3.1,7365,99,3
11/12/2022 12:00:00 AM,"Black, NH",3.5,7411,100,3
11/19/2022 12:00:00 AM,"Black, NH",4,7415,101,3
11/26/2022 12:00:00 AM,"Black, NH",4.4,7403,102,3
12/03/2022 12:00:00 AM,"Black, NH",4.8,7438,103,3
12/10/2022 12:00:00 AM,"Black, NH",5.1,7418,104,3
12/17/2022 12:00:00 AM,"Black, NH",5.4,7451,105,3
12/24/2022 12:00:00 AM,"Black, NH",5.7,7432,106,3
12/31/2022 12:00:00 AM,"Black, NH",5.9,7410,107,3
01/07/2023 12:00:00 AM,"Black, NH",6,7450,108,3
